Dates,msci.world.ex
Dec-31-1987,100.00
Jan-01-1988,100.00
Jan-04-1988,98.13
Jan-05-1988,97.32
Jan-06-1988,99.53
Jan-07-1988,100.29
Jan-08-1988,99.37
Jan-11-1988,98.57
Jan-12-1988,98.89
Jan-13-1988,98.32
Jan-14-1988,99.08
Jan-15-1988,96.95
Jan-18-1988,98.56
Jan-19-1988,98.38
Jan-20-1988,98.66
Jan-21-1988,98.35
Jan-22-1988,98.92
Jan-25-1988,100.71
Jan-26-1988,101.16
Jan-27-1988,100.61
Jan-28-1988,101.72
Jan-29-1988,101.54
Feb-01-1988,100.69
Feb-02-1988,100.83
Feb-03-1988,100.75
Feb-04-1988,100.70
Feb-05-1988,100.47
Feb-08-1988,100.30
Feb-09-1988,99.74
Feb-10-1988,100.77
Feb-11-1988,101.25
Feb-12-1988,100.48
Feb-15-1988,101.87
Feb-16-1988,102.56
Feb-17-1988,103.26
Feb-18-1988,104.25
Feb-19-1988,104.58
Feb-22-1988,105.79
Feb-23-1988,106.40
Feb-24-1988,106.77
Feb-25-1988,107.76
Feb-26-1988,107.76
Feb-29-1988,108.13
Mar-01-1988,108.90
Mar-02-1988,109.38
Mar-03-1988,109.32
Mar-04-1988,109.57
Mar-07-1988,110.48
Mar-08-1988,110.31
Mar-09-1988,111.07
Mar-10-1988,111.24
Mar-11-1988,110.92
Mar-14-1988,110.64
Mar-15-1988,110.99
Mar-16-1988,111.65
Mar-17-1988,111.89
Mar-18-1988,112.53
Mar-21-1988,113.26
Mar-22-1988,112.61
Mar-23-1988,113.28
Mar-24-1988,112.98
Mar-25-1988,112.06
Mar-28-1988,112.05
Mar-29-1988,113.37
Mar-30-1988,114.20
Mar-31-1988,114.73
Apr-01-1988,114.73
Apr-04-1988,114.55
Apr-05-1988,113.64
Apr-06-1988,114.27
Apr-07-1988,114.83
Apr-08-1988,115.32
Apr-11-1988,115.48
Apr-12-1988,115.68
Apr-13-1988,116.02
Apr-14-1988,117.79
Apr-15-1988,116.58
Apr-18-1988,115.69
Apr-19-1988,115.74
Apr-20-1988,116.11
Apr-21-1988,115.52
Apr-22-1988,114.84
Apr-25-1988,115.77
Apr-26-1988,116.16
Apr-27-1988,115.60
Apr-28-1988,116.47
Apr-29-1988,116.25
May-02-1988,116.52
May-03-1988,116.81
May-04-1988,116.60
May-05-1988,116.83
May-06-1988,116.04
May-09-1988,115.16
May-10-1988,115.36
May-11-1988,114.32
May-12-1988,114.09
May-13-1988,114.66
May-16-1988,115.24
May-17-1988,114.75
May-18-1988,114.52
May-19-1988,113.56
May-20-1988,113.41
May-23-1988,113.00
May-24-1988,113.39
May-25-1988,113.88
May-26-1988,113.46
May-27-1988,112.43
May-30-1988,111.33
May-31-1988,112.42
Jun-01-1988,113.61
Jun-02-1988,113.17
Jun-03-1988,113.75
Jun-06-1988,114.51
Jun-07-1988,114.95
Jun-08-1988,115.46
Jun-09-1988,116.78
Jun-10-1988,116.70
Jun-13-1988,116.63
Jun-14-1988,115.87
Jun-15-1988,116.40
Jun-16-1988,116.44
Jun-17-1988,116.16
Jun-20-1988,115.36
Jun-21-1988,114.83
Jun-22-1988,113.51
Jun-23-1988,113.00
Jun-24-1988,111.86
Jun-27-1988,109.92
Jun-28-1988,110.71
Jun-29-1988,109.36
Jun-30-1988,109.81
Jul-01-1988,109.03
Jul-04-1988,107.70
Jul-05-1988,109.04
Jul-06-1988,110.56
Jul-07-1988,111.65
Jul-08-1988,112.00
Jul-11-1988,111.45
Jul-12-1988,111.57
Jul-13-1988,110.85
Jul-14-1988,111.03
Jul-15-1988,109.25
Jul-18-1988,108.38
Jul-19-1988,107.90
Jul-20-1988,110.04
Jul-21-1988,111.23
Jul-22-1988,111.15
Jul-25-1988,110.45
Jul-26-1988,110.38
Jul-27-1988,112.19
Jul-28-1988,112.08
Jul-29-1988,112.86
Aug-01-1988,113.80
Aug-02-1988,113.76
Aug-03-1988,113.27
Aug-04-1988,112.83
Aug-05-1988,112.31
Aug-08-1988,112.11
Aug-09-1988,111.15
Aug-10-1988,108.79
Aug-11-1988,109.83
Aug-12-1988,110.58
Aug-15-1988,110.27
Aug-16-1988,110.79
Aug-17-1988,110.70
Aug-18-1988,110.64
Aug-19-1988,111.08
Aug-22-1988,109.92
Aug-23-1988,109.46
Aug-24-1988,108.79
Aug-25-1988,109.17
Aug-26-1988,108.18
Aug-29-1988,107.06
Aug-30-1988,107.09
Aug-31-1988,105.46
Sep-01-1988,103.86
Sep-02-1988,104.28
Sep-05-1988,105.70
Sep-06-1988,106.25
Sep-07-1988,107.46
Sep-08-1988,107.59
Sep-09-1988,107.65
Sep-12-1988,107.85
Sep-13-1988,108.63
Sep-14-1988,108.02
Sep-15-1988,108.41
Sep-16-1988,108.45
Sep-19-1988,108.78
Sep-20-1988,108.00
Sep-21-1988,108.13
Sep-22-1988,107.56
Sep-23-1988,107.53
Sep-26-1988,106.95
Sep-27-1988,108.04
Sep-28-1988,108.85
Sep-29-1988,109.20
Sep-30-1988,109.90
Oct-03-1988,109.60
Oct-04-1988,110.16
Oct-05-1988,109.64
Oct-06-1988,109.04
Oct-07-1988,109.68
Oct-10-1988,110.54
Oct-11-1988,111.70
Oct-12-1988,112.56
Oct-13-1988,113.70
Oct-14-1988,114.71
Oct-17-1988,115.20
Oct-18-1988,114.85
Oct-19-1988,115.39
Oct-20-1988,115.89
Oct-21-1988,116.49
Oct-24-1988,115.67
Oct-25-1988,115.94
Oct-26-1988,117.18
Oct-27-1988,117.66
Oct-28-1988,117.59
Oct-31-1988,118.78
Nov-01-1988,118.36
Nov-02-1988,118.64
Nov-03-1988,118.90
Nov-04-1988,117.82
Nov-07-1988,117.43
Nov-08-1988,118.00
Nov-09-1988,119.77
Nov-10-1988,120.22
Nov-11-1988,122.24
Nov-14-1988,121.24
Nov-15-1988,122.14
Nov-16-1988,122.90
Nov-17-1988,122.99
Nov-18-1988,123.35
Nov-21-1988,124.36
Nov-22-1988,125.11
Nov-23-1988,125.80
Nov-24-1988,126.25
Nov-25-1988,125.78
Nov-28-1988,123.36
Nov-29-1988,124.69
Nov-30-1988,125.25
Dec-01-1988,125.50
Dec-02-1988,124.81
Dec-05-1988,125.53
Dec-06-1988,125.58
Dec-07-1988,125.17
Dec-08-1988,124.99
Dec-09-1988,125.14
Dec-12-1988,124.33
Dec-13-1988,123.69
Dec-14-1988,124.56
Dec-15-1988,123.92
Dec-16-1988,122.71
Dec-19-1988,122.72
Dec-20-1988,122.36
Dec-21-1988,123.35
Dec-22-1988,123.73
Dec-23-1988,123.78
Dec-26-1988,124.99
Dec-27-1988,125.40
Dec-28-1988,124.91
Dec-29-1988,125.23
Dec-30-1988,125.87
Jan-02-1989,126.15
Jan-03-1989,127.34
Jan-04-1989,126.58
Jan-05-1989,126.26
Jan-06-1989,125.45
Jan-09-1989,126.71
Jan-10-1989,128.13
Jan-11-1989,128.73
Jan-12-1989,129.08
Jan-13-1989,129.20
Jan-16-1989,127.83
Jan-17-1989,127.67
Jan-18-1989,128.08
Jan-19-1989,126.45
Jan-20-1989,127.09
Jan-23-1989,127.40
Jan-24-1989,129.27
Jan-25-1989,129.03
Jan-26-1989,129.07
Jan-27-1989,129.03
Jan-30-1989,128.56
Jan-31-1989,128.21
Feb-01-1989,127.34
Feb-02-1989,127.78
Feb-03-1989,128.42
Feb-06-1989,128.34
Feb-07-1989,128.96
Feb-08-1989,129.90
Feb-09-1989,130.51
Feb-10-1989,130.39
Feb-13-1989,129.20
Feb-14-1989,130.28
Feb-15-1989,131.61
Feb-16-1989,131.04
Feb-17-1989,131.25
Feb-20-1989,131.01
Feb-21-1989,129.60
Feb-22-1989,130.40
Feb-23-1989,131.10
Feb-24-1989,130.82
Feb-27-1989,129.25
Feb-28-1989,128.63
Mar-01-1989,127.54
Mar-02-1989,127.64
Mar-03-1989,128.14
Mar-06-1989,127.42
Mar-07-1989,127.43
Mar-08-1989,127.24
Mar-09-1989,126.16
Mar-10-1989,125.94
Mar-13-1989,125.31
Mar-14-1989,126.16
Mar-15-1989,127.00
Mar-16-1989,126.74
Mar-17-1989,125.31
Mar-20-1989,123.47
Mar-21-1989,124.34
Mar-22-1989,123.45
Mar-23-1989,124.48
Mar-24-1989,123.86
Mar-27-1989,122.57
Mar-28-1989,124.62
Mar-29-1989,125.38
Mar-30-1989,125.69
Mar-31-1989,126.26
Apr-03-1989,126.86
Apr-04-1989,128.68
Apr-05-1989,128.70
Apr-06-1989,127.02
Apr-07-1989,126.87
Apr-10-1989,125.88
Apr-11-1989,126.44
Apr-12-1989,126.22
Apr-13-1989,126.50
Apr-14-1989,126.74
Apr-17-1989,127.71
Apr-18-1989,128.12
Apr-19-1989,127.62
Apr-20-1989,127.15
Apr-21-1989,127.15
Apr-24-1989,126.52
Apr-25-1989,127.25
Apr-26-1989,127.03
Apr-27-1989,127.51
Apr-28-1989,127.68
May-01-1989,127.40
May-02-1989,127.90
May-03-1989,128.01
May-04-1989,128.05
May-05-1989,128.09
May-08-1989,128.26
May-09-1989,127.65
May-10-1989,127.82
May-11-1989,127.54
May-12-1989,127.07
May-15-1989,124.84
May-16-1989,125.55
May-17-1989,124.04
May-18-1989,123.65
May-19-1989,124.43
May-22-1989,121.61
May-23-1989,121.31
May-24-1989,120.30
May-25-1989,121.20
May-26-1989,123.03
May-29-1989,121.18
May-30-1989,120.57
May-31-1989,121.00
Jun-01-1989,120.90
Jun-02-1989,121.05
Jun-05-1989,120.46
Jun-06-1989,119.16
Jun-07-1989,120.13
Jun-08-1989,120.43
Jun-09-1989,118.55
Jun-12-1989,116.38
Jun-13-1989,115.35
Jun-14-1989,115.89
Jun-15-1989,113.58
Jun-16-1989,116.74
Jun-19-1989,117.32
Jun-20-1989,118.72
Jun-21-1989,118.40
Jun-22-1989,121.08
Jun-23-1989,122.62
Jun-26-1989,121.81
Jun-27-1989,121.81
Jun-28-1989,120.02
Jun-29-1989,119.71
Jun-30-1989,118.58
Jul-03-1989,120.41
Jul-04-1989,121.13
Jul-05-1989,122.64
Jul-06-1989,123.94
Jul-07-1989,124.67
Jul-10-1989,125.64
Jul-11-1989,125.40
Jul-12-1989,125.77
Jul-13-1989,126.37
Jul-14-1989,125.55
Jul-17-1989,124.20
Jul-18-1989,124.25
Jul-19-1989,124.71
Jul-20-1989,125.19
Jul-21-1989,126.17
Jul-24-1989,125.76
Jul-25-1989,127.06
Jul-26-1989,128.62
Jul-27-1989,130.67
Jul-28-1989,130.44
Jul-31-1989,133.03
Aug-01-1989,133.06
Aug-02-1989,134.04
Aug-03-1989,131.92
Aug-04-1989,130.87
Aug-07-1989,130.54
Aug-08-1989,131.85
Aug-09-1989,132.30
Aug-10-1989,132.43
Aug-11-1989,130.56
Aug-14-1989,129.40
Aug-15-1989,129.17
Aug-16-1989,129.62
Aug-17-1989,128.78
Aug-18-1989,129.20
Aug-21-1989,129.69
Aug-22-1989,129.15
Aug-23-1989,129.16
Aug-24-1989,128.66
Aug-25-1989,128.68
Aug-28-1989,127.56
Aug-29-1989,128.27
Aug-30-1989,128.27
Aug-31-1989,127.34
Sep-01-1989,126.84
Sep-04-1989,126.72
Sep-05-1989,126.17
Sep-06-1989,125.94
Sep-07-1989,125.05
Sep-08-1989,125.44
Sep-11-1989,124.74
Sep-12-1989,125.46
Sep-13-1989,125.49
Sep-14-1989,126.08
Sep-15-1989,124.35
Sep-18-1989,126.22
Sep-19-1989,126.64
Sep-20-1989,127.05
Sep-21-1989,127.44
Sep-22-1989,126.82
Sep-25-1989,129.96
Sep-26-1989,131.52
Sep-27-1989,132.24
Sep-28-1989,132.23
Sep-29-1989,133.05
Oct-02-1989,132.64
Oct-03-1989,131.59
Oct-04-1989,131.05
Oct-05-1989,130.69
Oct-06-1989,129.49
Oct-09-1989,129.40
Oct-10-1989,128.33
Oct-11-1989,127.04
Oct-12-1989,126.51
Oct-13-1989,127.26
Oct-16-1989,124.73
Oct-17-1989,126.55
Oct-18-1989,127.10
Oct-19-1989,128.54
Oct-20-1989,128.56
Oct-23-1989,128.87
Oct-24-1989,128.49
Oct-25-1989,128.36
Oct-26-1989,128.70
Oct-27-1989,127.27
Oct-30-1989,127.44
Oct-31-1989,128.01
Nov-01-1989,127.61
Nov-02-1989,127.17
Nov-03-1989,127.22
Nov-06-1989,126.66
Nov-07-1989,126.16
Nov-08-1989,126.99
Nov-09-1989,127.92
Nov-10-1989,127.89
Nov-13-1989,127.71
Nov-14-1989,127.96
Nov-15-1989,128.47
Nov-16-1989,128.39
Nov-17-1989,128.04
Nov-20-1989,127.72
Nov-21-1989,128.16
Nov-22-1989,129.01
Nov-23-1989,129.07
Nov-24-1989,130.36
Nov-27-1989,131.66
Nov-28-1989,131.74
Nov-29-1989,133.04
Nov-30-1989,134.00
Dec-01-1989,133.87
Dec-04-1989,134.65
Dec-05-1989,134.97
Dec-06-1989,136.05
Dec-07-1989,135.86
Dec-08-1989,135.70
Dec-11-1989,135.58
Dec-12-1989,136.14
Dec-13-1989,137.14
Dec-14-1989,136.49
Dec-15-1989,136.76
Dec-18-1989,136.89
Dec-19-1989,135.68
Dec-20-1989,135.58
Dec-21-1989,135.63
Dec-22-1989,136.32
Dec-25-1989,136.33
Dec-26-1989,138.45
Dec-27-1989,139.49
Dec-28-1989,138.72
Dec-29-1989,138.86
Jan-01-1990,138.86
Jan-02-1990,138.39
Jan-03-1990,138.62
Jan-04-1990,139.86
Jan-05-1990,138.85
Jan-08-1990,139.00
Jan-09-1990,138.08
Jan-10-1990,137.34
Jan-11-1990,137.65
Jan-12-1990,136.55
Jan-15-1990,135.88
Jan-16-1990,133.11
Jan-17-1990,133.21
Jan-18-1990,131.71
Jan-19-1990,131.53
Jan-22-1990,131.89
Jan-23-1990,131.85
Jan-24-1990,131.20
Jan-25-1990,131.93
Jan-26-1990,132.49
Jan-29-1990,134.30
Jan-30-1990,134.08
Jan-31-1990,133.47
Feb-01-1990,134.10
Feb-02-1990,134.48
Feb-05-1990,134.86
Feb-06-1990,135.43
Feb-07-1990,134.12
Feb-08-1990,134.16
Feb-09-1990,133.20
Feb-12-1990,133.07
Feb-13-1990,132.36
Feb-14-1990,132.61
Feb-15-1990,133.32
Feb-16-1990,133.77
Feb-19-1990,132.98
Feb-20-1990,131.17
Feb-21-1990,128.45
Feb-22-1990,128.23
Feb-23-1990,125.20
Feb-26-1990,121.20
Feb-27-1990,122.80
Feb-28-1990,124.43
Mar-01-1990,122.49
Mar-02-1990,122.80
Mar-05-1990,122.80
Mar-06-1990,122.39
Mar-07-1990,121.56
Mar-08-1990,122.35
Mar-09-1990,121.88
Mar-12-1990,120.22
Mar-13-1990,118.34
Mar-14-1990,117.66
Mar-15-1990,117.79
Mar-16-1990,118.48
Mar-19-1990,115.79
Mar-20-1990,114.13
Mar-21-1990,113.39
Mar-22-1990,110.55
Mar-23-1990,112.47
Mar-26-1990,114.89
Mar-27-1990,114.72
Mar-28-1990,113.07
Mar-29-1990,113.43
Mar-30-1990,111.63
Apr-02-1990,106.36
Apr-03-1990,109.12
Apr-04-1990,109.00
Apr-05-1990,109.62
Apr-06-1990,111.88
Apr-09-1990,113.94
Apr-10-1990,111.86
Apr-11-1990,112.04
Apr-12-1990,112.25
Apr-13-1990,111.69
Apr-16-1990,110.41
Apr-17-1990,110.34
Apr-18-1990,111.66
Apr-19-1990,113.31
Apr-20-1990,113.09
Apr-23-1990,111.87
Apr-24-1990,110.87
Apr-25-1990,111.03
Apr-26-1990,111.08
Apr-27-1990,110.58
Apr-30-1990,110.48
May-01-1990,110.93
May-02-1990,112.43
May-03-1990,112.94
May-04-1990,113.43
May-07-1990,115.78
May-08-1990,115.92
May-09-1990,116.45
May-10-1990,116.28
May-11-1990,119.04
May-14-1990,120.46
May-15-1990,121.17
May-16-1990,120.59
May-17-1990,120.99
May-18-1990,120.35
May-21-1990,119.44
May-22-1990,120.97
May-23-1990,121.53
May-24-1990,121.06
May-25-1990,122.26
May-28-1990,122.90
May-29-1990,122.34
May-30-1990,122.99
May-31-1990,122.53
Jun-01-1990,123.21
Jun-04-1990,122.00
Jun-05-1990,122.30
Jun-06-1990,122.13
Jun-07-1990,122.32
Jun-08-1990,121.03
Jun-11-1990,119.73
Jun-12-1990,119.90
Jun-13-1990,120.07
Jun-14-1990,120.80
Jun-15-1990,119.97
Jun-18-1990,119.76
Jun-19-1990,119.32
Jun-20-1990,119.79
Jun-21-1990,119.54
Jun-22-1990,119.28
Jun-25-1990,118.28
Jun-26-1990,119.09
Jun-27-1990,120.83
Jun-28-1990,120.67
Jun-29-1990,121.32
Jul-02-1990,121.98
Jul-03-1990,122.25
Jul-04-1990,123.48
Jul-05-1990,122.65
Jul-06-1990,122.58
Jul-09-1990,122.93
Jul-10-1990,122.85
Jul-11-1990,123.40
Jul-12-1990,123.42
Jul-13-1990,125.15
Jul-16-1990,126.19
Jul-17-1990,126.24
Jul-18-1990,126.61
Jul-19-1990,126.20
Jul-20-1990,125.03
Jul-23-1990,123.75
Jul-24-1990,123.09
Jul-25-1990,122.89
Jul-26-1990,121.53
Jul-27-1990,120.70
Jul-30-1990,120.79
Jul-31-1990,123.07
Aug-01-1990,122.73
Aug-02-1990,119.49
Aug-03-1990,117.66
Aug-06-1990,114.48
Aug-07-1990,113.61
Aug-08-1990,113.62
Aug-09-1990,113.21
Aug-10-1990,112.54
Aug-13-1990,110.91
Aug-14-1990,111.96
Aug-15-1990,115.91
Aug-16-1990,114.50
Aug-17-1990,112.53
Aug-20-1990,111.69
Aug-21-1990,109.91
Aug-22-1990,108.41
Aug-23-1990,104.70
Aug-24-1990,105.95
Aug-27-1990,109.47
Aug-28-1990,111.49
Aug-29-1990,109.91
Aug-30-1990,111.17
Aug-31-1990,111.14
Sep-03-1990,109.69
Sep-04-1990,108.32
Sep-05-1990,107.92
Sep-06-1990,107.46
Sep-07-1990,107.50
Sep-10-1990,109.81
Sep-11-1990,107.93
Sep-12-1990,110.55
Sep-13-1990,109.66
Sep-14-1990,109.65
Sep-17-1990,108.36
Sep-18-1990,106.93
Sep-19-1990,105.20
Sep-20-1990,103.42
Sep-21-1990,103.05
Sep-24-1990,103.05
Sep-25-1990,100.73
Sep-26-1990,98.40
Sep-27-1990,97.72
Sep-28-1990,96.12
Oct-01-1990,96.83
Oct-02-1990,102.69
Oct-03-1990,102.93
Oct-04-1990,102.69
Oct-05-1990,104.56
Oct-08-1990,108.36
Oct-09-1990,107.51
Oct-10-1990,106.85
Oct-11-1990,104.55
Oct-12-1990,105.68
Oct-15-1990,107.22
Oct-16-1990,107.93
Oct-17-1990,109.63
Oct-18-1990,110.97
Oct-19-1990,112.24
Oct-22-1990,113.49
Oct-23-1990,113.55
Oct-24-1990,112.60
Oct-25-1990,113.85
Oct-26-1990,111.70
Oct-29-1990,111.68
Oct-30-1990,109.72
Oct-31-1990,109.71
Nov-01-1990,107.35
Nov-02-1990,107.75
Nov-05-1990,109.42
Nov-06-1990,108.87
Nov-07-1990,107.76
Nov-08-1990,105.17
Nov-09-1990,105.23
Nov-12-1990,105.87
Nov-13-1990,108.16
Nov-14-1990,107.35
Nov-15-1990,106.89
Nov-16-1990,106.40
Nov-19-1990,108.19
Nov-20-1990,107.48
Nov-21-1990,107.12
Nov-22-1990,108.58
Nov-23-1990,108.66
Nov-26-1990,108.01
Nov-27-1990,107.60
Nov-28-1990,106.22
Nov-29-1990,104.87
Nov-30-1990,103.41
Dec-03-1990,104.05
Dec-04-1990,102.82
Dec-05-1990,103.74
Dec-06-1990,106.62
Dec-07-1990,109.44
Dec-10-1990,109.72
Dec-11-1990,109.68
Dec-12-1990,109.65
Dec-13-1990,110.98
Dec-14-1990,109.70
Dec-17-1990,108.10
Dec-18-1990,108.80
Dec-19-1990,109.18
Dec-20-1990,107.34
Dec-21-1990,105.08
Dec-24-1990,104.49
Dec-25-1990,104.48
Dec-26-1990,104.03
Dec-27-1990,104.21
Dec-28-1990,105.38
Dec-31-1990,105.07
Jan-01-1991,105.07
Jan-02-1991,105.63
Jan-03-1991,106.00
Jan-04-1991,105.63
Jan-07-1991,103.11
Jan-08-1991,101.55
Jan-09-1991,103.26
Jan-10-1991,102.65
Jan-11-1991,102.95
Jan-14-1991,101.65
Jan-15-1991,101.27
Jan-16-1991,99.52
Jan-17-1991,105.00
Jan-18-1991,106.10
Jan-21-1991,105.64
Jan-22-1991,105.96
Jan-23-1991,104.73
Jan-24-1991,106.34
Jan-25-1991,106.97
Jan-28-1991,107.43
Jan-29-1991,107.42
Jan-30-1991,107.23
Jan-31-1991,108.15
Feb-01-1991,108.34
Feb-04-1991,109.36
Feb-05-1991,111.54
Feb-06-1991,112.97
Feb-07-1991,114.29
Feb-08-1991,115.18
Feb-11-1991,116.51
Feb-12-1991,117.69
Feb-13-1991,117.73
Feb-14-1991,118.39
Feb-15-1991,118.12
Feb-18-1991,120.49
Feb-19-1991,120.21
Feb-20-1991,118.88
Feb-21-1991,118.64
Feb-22-1991,118.80
Feb-25-1991,119.32
Feb-26-1991,117.91
Feb-27-1991,117.97
Feb-28-1991,119.56
Mar-01-1991,117.02
Mar-04-1991,116.53
Mar-05-1991,117.85
Mar-06-1991,118.48
Mar-07-1991,118.68
Mar-08-1991,118.83
Mar-11-1991,117.34
Mar-12-1991,118.38
Mar-13-1991,117.07
Mar-14-1991,118.60
Mar-15-1991,118.80
Mar-18-1991,117.77
Mar-19-1991,115.87
Mar-20-1991,113.97
Mar-21-1991,115.69
Mar-22-1991,115.11
Mar-25-1991,114.06
Mar-26-1991,112.81
Mar-27-1991,112.62
Mar-28-1991,111.88
Mar-29-1991,112.78
Apr-01-1991,112.49
Apr-02-1991,114.37
Apr-03-1991,117.27
Apr-04-1991,117.45
Apr-05-1991,118.75
Apr-08-1991,116.97
Apr-09-1991,116.54
Apr-10-1991,116.35
Apr-11-1991,116.38
Apr-12-1991,117.30
Apr-15-1991,118.53
Apr-16-1991,118.12
Apr-17-1991,118.90
Apr-18-1991,117.72
Apr-19-1991,115.22
Apr-22-1991,112.53
Apr-23-1991,113.45
Apr-24-1991,113.43
Apr-25-1991,112.49
Apr-26-1991,112.69
Apr-29-1991,112.31
Apr-30-1991,113.79
May-01-1991,115.84
May-02-1991,115.26
May-03-1991,114.50
May-06-1991,114.26
May-07-1991,115.06
May-08-1991,114.49
May-09-1991,113.98
May-10-1991,114.89
May-13-1991,113.81
May-14-1991,113.69
May-15-1991,114.30
May-16-1991,114.38
May-17-1991,113.83
May-20-1991,112.76
May-21-1991,113.53
May-22-1991,113.39
May-23-1991,113.68
May-24-1991,113.79
May-27-1991,113.78
May-28-1991,113.70
May-29-1991,114.87
May-30-1991,114.77
May-31-1991,115.20
Jun-03-1991,114.40
Jun-04-1991,113.98
Jun-05-1991,113.48
Jun-06-1991,112.94
Jun-07-1991,112.02
Jun-10-1991,110.54
Jun-11-1991,111.14
Jun-12-1991,110.32
Jun-13-1991,109.85
Jun-14-1991,111.04
Jun-17-1991,110.31
Jun-18-1991,109.53
Jun-19-1991,108.37
Jun-20-1991,109.44
Jun-21-1991,109.65
Jun-24-1991,108.34
Jun-25-1991,108.70
Jun-26-1991,108.39
Jun-27-1991,108.05
Jun-28-1991,106.99
Jul-01-1991,108.43
Jul-02-1991,107.83
Jul-03-1991,106.19
Jul-04-1991,105.62
Jul-05-1991,105.85
Jul-08-1991,104.44
Jul-09-1991,105.81
Jul-10-1991,107.01
Jul-11-1991,106.94
Jul-12-1991,108.07
Jul-15-1991,109.44
Jul-16-1991,109.38
Jul-17-1991,108.76
Jul-18-1991,109.03
Jul-19-1991,109.49
Jul-22-1991,109.27
Jul-23-1991,109.66
Jul-24-1991,111.06
Jul-25-1991,110.13
Jul-26-1991,111.24
Jul-29-1991,110.65
Jul-30-1991,111.55
Jul-31-1991,111.94
Aug-01-1991,111.88
Aug-02-1991,112.17
Aug-05-1991,111.92
Aug-06-1991,111.55
Aug-07-1991,112.13
Aug-08-1991,111.76
Aug-09-1991,110.95
Aug-12-1991,109.97
Aug-13-1991,109.97
Aug-14-1991,110.82
Aug-15-1991,110.66
Aug-16-1991,109.04
Aug-19-1991,101.81
Aug-20-1991,104.17
Aug-21-1991,107.25
Aug-22-1991,109.91
Aug-23-1991,108.61
Aug-26-1991,108.01
Aug-27-1991,107.73
Aug-28-1991,107.92
Aug-29-1991,109.13
Aug-30-1991,109.82
Sep-02-1991,110.61
Sep-03-1991,110.56
Sep-04-1991,110.87
Sep-05-1991,110.89
Sep-06-1991,111.10
Sep-09-1991,112.06
Sep-10-1991,111.75
Sep-11-1991,111.49
Sep-12-1991,112.06
Sep-13-1991,113.56
Sep-16-1991,113.41
Sep-17-1991,114.21
Sep-18-1991,113.12
Sep-19-1991,112.91
Sep-20-1991,112.62
Sep-23-1991,113.46
Sep-24-1991,113.78
Sep-25-1991,114.14
Sep-26-1991,114.36
Sep-27-1991,113.98
Sep-30-1991,115.21
Oct-01-1991,115.97
Oct-02-1991,116.88
Oct-03-1991,117.75
Oct-04-1991,117.76
Oct-07-1991,117.07
Oct-08-1991,116.08
Oct-09-1991,115.51
Oct-10-1991,115.64
Oct-11-1991,115.63
Oct-14-1991,115.46
Oct-15-1991,115.39
